year,state,prcp,srad,swe,tmax,tmin,vp,corn_yield
1990,Illinois,3.785194175,367.5961166,0,24.70449029,12.42354369,1550.242718,129.2
1990,Indiana,4.137135922,369.9572818,0,23.65716019,11.6401699,1463.786408,130.2
1990,Iowa,3.930825243,357.5650482,0,23.70691748,11.60497573,1489.466019,130.2
1990,Kansas,2.703883495,383.3864079,0,27.5618932,13.7493932,1670.92233,130
1990,Minnesota,3.192961165,347.5533986,0.514563107,21.60194175,8.559466019,1197.669903,123.8
1990,Missouri,3.983009709,377.1300969,0,26.30339806,13.16808252,1630.485437,102.2
1990,Nebraska,2.344660194,383.3941752,0,25.40169903,10.5473301,1318.349515,130
1990,Ohio,4.277912621,365.5922328,0,23.3598301,11.18628641,1410.679612,122.4
1990,South Dakota,1.970873786,372.8543693,0.048543689,24.02791262,8.524271845,1124.466019,79
1991,Illinois,2.939320388,366.3495147,0,26.35315534,13.93021845,1663.543689,107.4
1991,Indiana,2.88592233,367.3631062,0,25.66929612,13.24453883,1595.339806,94.2
1991,Iowa,3.733009709,354.3922327,0.04368932,23.99332524,12.01274272,1531.213592,115
1991,Kansas,2.297330097,383.4990292,0.072815534,28.1723301,14.09162621,1611.84466,123
1991,Minnesota,3.745145631,336.4194172,0.844660194,20.98786408,9.406553398,1288.106796,123.6
1991,Missouri,3.439320388,371.7398059,0,27.4065534,14.41262136,1735.825243,96
1991,Nebraska,2.640776699,376.7456314,0.45631068,25.26456311,10.96723301,1395.436893,125.6
1991,Ohio,2.241504854,373.3786407,0,25.6086165,12.5315534,1506.650485,93.2
1991,South Dakota,2.686893204,364.6601945,0.422330097,23.33252427,9.106796117,1242.76699,74.6
1992,Illinois,2.486650485,378.4776701,0,24.33555825,11.54854369,1375.097087,137.6
1992,Indiana,3.118932039,374.6330101,0,22.97512136,10.79975728,1351.553398,136.6
1992,Iowa,3.325242718,365.3902919,0,22.4690534,9.967839806,1278.446602,137.8
1992,Kansas,3.322815534,382.1669903,0,25.79368932,12.58070388,1465.873786,141
1992,Minnesota,2.665048544,353.0640779,0,19.63228155,7.208737864,1013.592233,120.8
1992,Missouri,3.112864078,381.1961167,0,25.62135922,12.40230583,1511.553398,122.8
1992,Nebraska,2.427184466,384.1242716,0,23.48179612,9.383495146,1156.116505,130.6
1992,Ohio,3.233009709,369.51068,0,22.72633495,10.33495146,1326.796117,132.8
1992,South Dakota,1.936893204,375.7747574,0.058252427,22.13106796,7.270631068,940.2912621,82.6
1993,Illinois,4.872572816,358.201942,0,24.06432039,12.7038835,1586.359223,134.8
1993,Indiana,3.936893204,364.1475725,0,23.57402913,11.84162621,1498.786408,133.8
1993,Iowa,4.870145631,349.6582525,0.014563107,22.05097087,10.98118932,1418.300971,99.4
1993,Kansas,4.084951456,376.2330099,0,25.81128641,12.93507282,1594.757282,132
